Company,Year Founded,Total Raised,HQ Country,Last Financing Date,Last Financing Deal Type,Last Financing Size,Revenue
Amphista Therapeutics,2017,21,United Kingdom,17-Mar-2021,Later Stage VC,14,
Atelerix,2017,3.74,United Kingdom,14-May-2020,Early Stage VC,0.59,
Ateria Health,2016,0.92,United Kingdom,20-0ct-2020,Later Stage VC,0.71,
Basecamp Research,2019,1,United Kingdom,01-Jan-2020,Early Stage VC,1,
Better Dairy,2020,1.68,United Kingdom,17-Dec-2020,Seed Round,1.6,
Camallergy,2015,3.73,United Kingdom,04-Sep-2020,Later Stage VC,1.96,
Celixir,2009,1.1,United Kingdom,01-Jan-2020,Later Stage VC,,0.66
Cellesce,2013,6.81,United Kingdom,01-Jan-2020,Accelerator/Incubator,6.16,
Chain Biotech,2014,1.54,United Kingdom,14-Jan-2020,Later Stage VC,,
Circadian Therapeutics,2016,6.4,United Kingdom,26-Feb-2020,Early Stage VC,2.9,0
CircaGene,2018,0.19,United Kingdom,04-Apr-2020,Seed Round,0.19,0.13
DefiniGEN,2011,8.92,United Kingdom,19-NOV-2020,Later Stage VC,3.25,
DJS Antibodies,2014,6.74,United Kingdom,22-Dec-2020,Seed Round,6,
Eliem Therapeutics,2018,102.76,United Kingdom,24-May-2021,Early Stage VC,42.84,
Emergex Vaccines,2016,34.96,United Kingdom,18-NOV-2020,Early Stage VC,8.41,
Enhanc3D Genomics,2020,1.75,United Kingdom,26-Mar-2021,Early Stage VC,1.5,
Enterprise Therapeutics,2014,37.4,United Kingdom,07-0ct-2020,Secondary Tr...,75,
Evonetix,2015,33.21,United Kingdom,02-Mar-2020,Early Stage VC,22.7,
Exvastat,2016,1.6,United Kingdom,15-May-2020,Grant,3.15,
GaitQ,2019,0.63,United Kingdom,29-Mar-2021,Grant,0.14,
GyreOx,2019,,United Kingdom,28-Feb-2020,Seed Round,,
Hutano Diagnostics,2018,0.12,United Kingdom,15-Sep-2020,Seed Round,,
IntraBio,2015,7.93,United Kingdom,05-NOV-2020,Early Stage VC,7.93,
LUNAC Therapeutics,2018,9.75,United Kingdom,13-May-2021,Early Stage VC,4.75,
Magnitude Biosciences,2018,1.02,United Kingdom,19-Aug-2020,Early Stage VC,0.25,
MicrofluidX,2018,1.42,United Kingdom,05-NOV-2020,Secondary Tr...,,
Micrographia Bio,2019,1.86,United Kingdom,25-Aug-2020,Seed Round,1.86,
Mogrify,2009,36.38,United Kingdom,04-May-2021,Later Stage VC,33,
Neuro-Bio,2013,6.47,United Kingdom,27-Jan-2020,Later Stage VC,1.71,
NodThera,2016,79.16,United Kingdom,03-Jun-2020,Early Stage VC,43.66,
NuVision Biotherapies,2014,3.25,United Kingdom,02-Apr-2020,Later Stage VC,1.84,
Ochre Bio,2019,0.12,United Kingdom,26-Mar-2020,Accelerator/Incubator,,
OMass Therapeutics,2016,43.66,United Kingdom,13-Feb-2020,Later Stage VC,27.5,0
Orbit Discovery,2015,8.39,United Kingdom,23-Jan-2020,Grant,0.22,
OVO Biomanufacturing,2019,,United Kingdom,03-Dec-2020,Seed Round,,
Oxford Endovascular,2015,12.44,United Kingdom,08-Apr-2021,Later Stage VC,7.33,
Pandeia Therapeutics,2018,2.28,United Kingdom,08-Sep-2020,Early Stage VC,0.53,
PetMedix,2017,10.27,United Kingdom,01-Feb-2021,Early Stage VC,,
Phasecraft,2018,4.45,United Kingdom,10-Dec-2020,Seed Round,3.7,
Psyomics,2015,5.34,United Kingdom,27-Oct-2020,Later Stage VC,1.53,
Purespring Therapeutics,2020,45,United Kingdom,19-NOV-2020,Early Stage VC,45,
QBiotix,2019,0.25,United Kingdom,05-NOV-2020,Early Stage VC,0.25,
Renovos,2016,1.06,United Kingdom,01-May-2020,Early Stage VC,0.25,
Resolution Therapeutics,2017,28,United Kingdom,02-Dec-2020,Early Stage VC,26.6,
ReViral,2011,93.14,United Kingdom,25-Aug-2020,Later Stage VC,34.89,
Roslin Technologies,2016,60,United Kingdom,13-Jul-2020,Early Stage VC,50,
Smart Matrix,2011,8.78,United Kingdom,27-Mar-2020,Later Stage VC,0.36,
SpyBiotech,2017,39.77,United Kingdom,10-Feb-2021,Early Stage VC,23.77,
Stemnovate,2016,0.15,United Kingdom,02-NOV-2020,Early Stage VC,,
Ten Bio,2019,0.91,United Kingdom,14-Apr-2021,Early Stage VC,0.91,
Tenpoint Therapeutics,2020,6.4,United Kingdom,30-NOV-2020,Early Stage VC,6.4,
Tharos,2016,1.23,United Kingdom,03-Apr-2020,Angel,0.51,
Transine Therapeutics,2018,13.7,United Kingdom,02-Jun-2021,Seed Round,9.1,
VisusNano,2015,0.42,United Kingdom,02-Jun-2020,Grant,0.23,
Gelmetix,2012,12.25,United Kingdom,01-May-2021,Later Stage VC,5.18,0
Genetrainer,2013,0.23,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.04,
Gl UK Medical,2019,0.65,United Kingdom,23-Mar-2020,Early Stage VC,0.65,
GP Nutrition,2014,3.3,United Kingdom,20-Mar-2020,Early Stage VC,1.19,
Anastasis Biotec,2016,0.24,United Kingdom,06-NOV-2020,Grant,0.04,
Capella BioScience,2014,28,United Kingdom,24-Sep-2020,Later Stage VC,7.5,
Curapel,2011,0.77,United Kingdom,01-Mar-2020,Later Stage VC,0.57,
IBEX Innovations,2010,5.61,United Kingdom,15-May-2020,Later Stage VC,0.54,
Macomics,2018,3.18,United Kingdom,14-Jul-2020,Seed Round,3.18,
Pheno Therapeutics,2018,5,United Kingdom,18-Feb-2020,Early Stage VC,5,
Senisca,2020,2.29,United Kingdom,Expected      31-Dec-2022,Seed Round,5,0.05
Venomtech,2010,0.82,United Kingdom,11-Sep-2020,Angel,0.46,
Zihipp,2012,3.37,United Kingdom,22-Jan-2020,Later Stage VC,3.37,
ADC Biotechnology,2010,19.25,United Kingdom,06-Apr-2021,Merger/Acqui...,,
Genefirst,2011,4.4,United Kingdom,01-Aug-2020,Grant,1.46,
Jellagen,2015,8.81,United Kingdom,25-Jun-2020,Early Stage VC,1.9,
Qkine,2016,2.19,United Kingdom,08-Jun-2020,Early Stage VC,1.5,
Refeyn,2018,34.28,United Kingdom,11-Nov-2020,Early Stage VC,30,
Symbiosis Pharmaceutical Services,2011,3.42,United Kingdom,01-Jul-2020,Debt - General,1,
UniKlasers,2013,2.84,United Kingdom,18-May-2020,Later Stage VC,0.75,
HexagonFab,2017,1.89,United Kingdom,20-Apr-2021,Seed Round,1.89,
Xenon Healthcare,2014,4.24,United Kingdom,08-Apr-2020,Later Stage VC,0.32,
Ablatus Therapeutics,2015,2.76,United Kingdom,13-Apr-2021,Early Stage VC,0.82,
Adaptate Biotherapeutics,2019,27.05,United Kingdom,19-Apr-2021,Early Stage VC,13.06,
AMLo Biosciences,2017,4.82,United Kingdom,23-NOV-2020,Early Stage VC,1.52,
Arctoris,2016,3.84,United Kingdom,19-NOV-2020,Early Stage VC,2.9,
Aurum Biosciences,2015,3.68,United Kingdom,13-0ct-2020,Early Stage VC,0.68,
Awinity Therapeutics,2016,6.1,United Kingdom,01-Aug-2020,Seed Round,4,
Biofidelity,2019,10.48,United Kingdom,20-Aug-2020,Early Stage VC,9.73,
BiVictrix Therapeutics,2016,1.53,United Kingdom,26-May-2021,Reverse Merg...,,
Cellinta,2019,1.35,United Kingdom,01-Jan-2020,Early Stage VC,1.35,
CLYZ Labs,2017,0.84,United Kingdom,23-Sep-2020,Angel,0.4,
Cumulus Oncology,2017,1.7,United Kingdom,13-Jul-2020,Early Stage VC,1.7,
Curve Therapeutics,2019,4.5,United Kingdom,14-May-2021,Early Stage VC,2,
Elasmogen,2014,5.07,United Kingdom,28-Apr-2021,Later Stage VC,0.75,
Epsilogen,2016,8.05,United Kingdom,20-Apr-2020,Early Stage VC,3.05,
GenoME Diagnostics,2020,0.3,United Kingdom,25-May-2021,Seed Round,0.3,
Grey Wolf Therapeutics,2017,12.92,United Kingdom,09-Jan-2020,Early Stage VC,2.5,
Inivata,2014,120.77,United Kingdom,05-May-2021,Merger/Acqui...,281.85,
IQ Scopes,2015,1.75,United Kingdom,24-Dec-2020,Early Stage VC,1.5,
LlfT BioSciences,2014,2.6,United Kingdom,,Later Stage VC,,
Macrophage Pharma,2016,18,United Kingdom,,Early Stage VC,4.7,
MedAnnex,2009,13.09,United Kingdom,15-Jun-2020,Grant,0.16,
Mestag Therapeutics,2020,7.98,United Kingdom,20-Apr-2021,Seed Round,7.98,
Mironid,2014,13.76,United Kingdom,25-Mar-2020,Later Stage VC,1.86,
Mission Therapeutics,2011,96.24,United Kingdom,27-Jan-2021,Secondary Tr...,,0
Mote Research,2015,0.25,United Kingdom,15-0ct-2020,Seed Round,0.25,
Myricx Pharma,2019,4.5,United Kingdom,16-NOV-2020,Seed Round,4.5,
NeoPhore,2017,21.2,United Kingdom,09-Mar-2021,Early Stage VC,15.2,
NK:IO,2020,0.85,United Kingdom,22-Dec-2020,Seed Round,0.85,
OxSonics Therapeutics,2013,22.6,United Kingdom,01-Jul-2020,Later Stage VC,10.5,
PharmEnable,2016,1.85,United Kingdom,28-Apr-2020,Early Stage VC,1.85,
Pneumagen,2016,9.41,United Kingdom,21-Jan-2021,Later Stage VC,2.5,
PolyProx Therapeutics,2018,4.41,United Kingdom,02-Mar-2020,Seed Round,1,0
Prokarium,2012,34.07,United Kingdom,27-Oct-2020,Later Stage VC,16.37,
QV Bioelectronics,2018,0.22,United Kingdom,24-Jul-2020,Seed Round,0.12,
Semarion,2018,0.25,United Kingdom,07-Aug-2020,Seed Round,0.25,
Singula Bio,2020,,United Kingdom,30-NOV-2020,Seed Round,,
Sitryx,2016,31.54,United Kingdom,30-Mar-2020,Corporate,7.75,
Spirea,2015,0.79,United Kingdom,,Seed Round,,0
TC Biopharm,2013,19.04,United Kingdom,09-Jan-2021,Equity Crowdfunding,1.74,
Theolytics,2017,7.55,United Kingdom,07-Jan-2021,Early Stage VC,5.04,
Chromition,2014,2.15,United Kingdom,01-Nov-2020,Later Stage VC,1.5,
Glyconics,2013,0.83,United Kingdom,19-0ct-2020,Grant,0.09,
Lightpoint Medical,2012,30.81,United Kingdom,,Secondary Tr...,,
Biomage,2019,0.85,United Kingdom,08-Dec-2020,Seed Round,0.85,
Bit Bio,2016,44.26,United Kingdom,28-Feb-2020,Early Stage VC,40.96,
Lightcast Discovery,2019,13.61,United Kingdom,12-Mar-2021,Early Stage VC,11.68,
MIP Diagnostics,2015,7.58,United Kingdom,01-Jul-2020,Later Stage VC,5.1,
Nudera,2013,9.53,United Kingdom,24-Mar-2020,Later Stage VC,3.43,
Bia Analytical,2018,0.57,United Kingdom,08-Apr-2020,Seed Round,0.57,
Blok (Leisure Facilities),2015,,United Kingdom,21-Oct-2020,Equity Crowdfunding,0.46,
Blueheart,2019,0.97,United Kingdom,07-May-2020,Seed Round,0.85,
Coldpress,2011,3.29,United Kingdom,19-Aug-2020,Secondary Tr...,,
CORE POWER,2019,3.37,United Kingdom,05-Aug-2020,Early Stage VC,3.37,
Daybridge,2020,0.75,United Kingdom,25-Aug-2020,Seed Round,0.75,
Digme Fitness,2015,6.09,United Kingdom,10-Dec-2020,Early Stage VC,0.82,
Fellow Creatures,2019,,United Kingdom,,Early Stage VC,,
Free Soul,2016,1.09,United Kingdom,04-Apr-2020,Seed Round,0.47,
Heka (Social/Platform Software),2016,0.95,United Kingdom,24-Jun-2020,Seed Round,0.95,
Hexr,2017,4.37,United Kingdom,19-Sep-2020,Early Stage VC,1.65,
Hometree,2015,18.47,United Kingdom,07-0ct-2020,Early Stage VC,7,
Hotpod Yoga,2013,2.75,United Kingdom,22-JUI-2020,Later Stage VC,0.57,
One Year No Beer,2015,2.48,United Kingdom,13-May-2021,Later Stage VC,1.38,
ParentCare,2020,0.09,United Kingdom,02-Mar-2021,Early Stage VC,0.03,
The Plantifull Food Co.,2018,,United Kingdom,01-Jan-2020,Early Stage VC,,
The Smarter Food Company,2018,1.53,United Kingdom,01-Nov-2020,Grant,0.12,
Vitl,2014,4.36,United Kingdom,01-Jun-2020,Later Stage VC,2.44,
Whirli,2018,4.2,United Kingdom,07-Dec-2020,Seed Round,4.2,
Xampla,2018,8.39,United Kingdom,08-Jan-2021,Seed Round,6.22,
Present Life,2020,15.36,United Kingdom,21-Aug-2020,Early Stage VC,15.36,
Re:Nourish,2018,0.8,United Kingdom,18-Sep-2020,Early Stage VC,0.8,
Expert Trades,2013,0.29,United Kingdom,10-Sep-2020,Angel,0.1,
Clementine App,2017,1,United Kingdom,26-Oct-2020,Seed Round,1,
Urban (Information Services (B2C)),2013,18.3,United Kingdom,28-Sep-2020,Equity Crowdfunding,5.87,
Butternut Box,2014,52.03,United Kingdom,17-Aug-2020,Debt - General,9.03,
Itch,2018,16.05,United Kingdom,,Early Stage VC,,
Service Robotics,2017,0.89,United Kingdom,04-Aug-2020,Equity Crowdfunding,0.73,
Kama (Information Services (B2C),2019,3.9,United Kingdom,25-Mar-2021,Angel,1.37,
Brill Power,2015,4.44,United Kingdom,18-Feb-2021,Seed Round,2.5,
MoveGB,2012,6.54,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.16,
Koalaa,2020,0.14,United Kingdom,21-May-2021,Early Stage VC,0.14,
Moju,2014,4.33,United Kingdom,20-Mar-2021,Early Stage VC,2.5,
mobilise,2019,0.26,United Kingdom,02-Apr-2021,Early Stage VC,0.2,
AC Biode,2014,0.54,United Kingdom,24-Dec-2020,Seed Round,0.54,
Belluscura,2015,10.03,United Kingdom,07-May-2021,IPO,15,0
Biophilica,2019,0.01,United Kingdom,26-Apr-2021,Grant,0.01,
Buster + Punch,2012,9.88,United Kingdom,03-Sep-2020,Later Stage VC,6.98,
Clean Co.,2019,9.3,United Kingdom,28-Sep-2020,Early Stage VC,7,
Double Dutch Drinks,2014,4.81,United Kingdom,12-Jun-2020,Corporate,1.28,
Dyman,2016,0.8,United Kingdom,14-May-2021,Early Stage VC,0.57,
iCOMAT,2017,1.41,United Kingdom,17-Mar-2021,Grant,1.94,
Insphere,2013,2.6,United Kingdom,01-Apr-2021,Later Stage VC,1,
Interface Polymers,2016,6.71,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.66,
IONATE (United Kingdom),2019,0.2,United Kingdom,18-NOV-2020,Seed Round,0.2,
LifeSafe Technologies,2015,0.49,United Kingdom,30-0ct-2020,Equity Crowdfunding,0.15,
Living optics,2019,3.29,United Kingdom,16-Apr-2020,Seed Round,3.29,
Matter.,2018,1.17,United Kingdom,11-Nov-2020,Early Stage VC,1.17,
MPowder,2019,0.43,United Kingdom,04-NOV-2020,Seed Round,0.43,
New Motion Labs,2015,1,United Kingdom,01-Jan-2021,Accelerator/!...,0.25,
Perfumer H,2014,,United Kingdom,,Later Stage VC,,
Polymateria,2015,22.49,United Kingdom,20-Jul-2020,Early Stage VC,15,
Pplus Skin Care,2014,0.54,United Kingdom,08-0ct-2020,Early Stage VC,0.39,
Reacta Biotech,2013,3.75,United Kingdom,02-Mar-2020,Later Stage VC,1.52,
Ring Powercraft,2017,,United Kingdom,01-Nov-2020,Early Stage VC,,
SofMat,2011,,United Kingdom,16-Jan-2020,Later Stage VC,,
Thalia Design Automation,2011,3.87,United Kingdom,Expected      30-Aug-2021,Later Stage VC,,
Thermulon,2019,0.47,United Kingdom,01-Apr-2020,Early Stage VC,0.44,
Tricoya,2012,55.96,United Kingdom,29-Oct-2020,Early Stage VC,6.74,
Twin Science,2017,0.38,United Kingdom,23-NOV-2020,Equity Crowdfunding,1.43,
Uniblock,2016,1.58,United Kingdom,06-NOV-2020,Early Stage VC,0.3,
VN Aerotoxic Detection Solutions,2013,0.52,United Kingdom,21-Jul-2020,Angel,0.6,
YourZooki,2017,2.05,United Kingdom,15-Feb-2021,Debt - General,0.8,
FuroSystems,2017,0.71,United Kingdom,30-Sep-2020,Early Stage VC,0.71,1.52
Petalite,2014,0.89,United Kingdom,04-Apr-2020,Seed Round,0.13,
Sa ietta,2015,13.31,United Kingdom,22-Apr-2020,Early Stage VC,1.29,
Sicut Enterprises,2013,24.55,United Kingdom,12-NOV-2020,Early Stage VC,17.85,
Nikalyte,2019,0.2,United Kingdom,17-Mar-2020,Early Stage VC,0.05,
MIRICO,2015,6.65,United Kingdom,12-Aug-2020,Early Stage VC,2.08,
Inovo Robotics,2016,3.01,United Kingdom,28-JUI-2020,Early Stage VC,1.45,
Perceptual Robotics (Other Hardw...,2016,0.79,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.26,
Boiler Plan,2015,5.15,United Kingdom,30-Mar-2021,Later Stage VC,1.5,
Hi Light Semiconductor,2012,35.63,United Kingdom,04-Jan-2021,Later Stage VC,6.29,
ORCA Computing,2019,2.9,United Kingdom,Expected      31-Aug-2021,Seed Round,,
Softlron,2012,45.05,United Kingdom,25-Mar-2020,Later Stage VC,31.4,
Trench Networks,2015,0.52,United Kingdom,28-JUI-2020,Later Stage VC,0.08,
BioSelf Technology,2015,0.77,United Kingdom,12-Dec-2020,Product Crow...,0.76,
Moodbeam,2016,1.11,United Kingdom,01-Oct-2020,Seed Round,0.45,
Upgrade Pack,2018,6.11,United Kingdom,28-Jan-2020,Seed Round,1.75,
Cloud.IQ,2011,13.44,United Kingdom,06-May-2020,Later Stage VC,,
Colateral,2015,2.56,United Kingdom,29-Jun-2020,Seed Round,0.8,
Crikle,2018,0.09,United Kingdom,16-Dec-2020,Equity Crowdfunding,0.53,
Gobsmack,2015,23.31,United Kingdom,17-Dec-2020,Early Stage VC,0.21,
Accommodation.co.uk,2017,0.85,United Kingdom,28-Aug-2020,Early Stage VC,0.5,59.38
Covatic,2016,2.06,United Kingdom,08-Sep-2020,Accelerator/Incubator,0.02,
Ziflow,2015,5.36,United Kingdom,08-Apr-2021,Later Stage VC,4.33,
DPL (Business/Productivity Software),2018,1.33,United Kingdom,08-Jan-2020,Early Stage VC,1.33,
Duel (Business/Productivity Softwa...,2012,3.85,United Kingdom,31-Mar-2021,Later Stage VC,0.2,
Fospha Marketing,2014,6.8,United Kingdom,21-Feb-2020,Later Stage VC,1.5,
Localistico,2014,2.89,United Kingdom,16-Dec-2020,Early Stage VC,1,
SourceMogul,2013,0.48,United Kingdom,28-May-2020,Later Stage VC,0.18,
Swipii,2014,7.73,United Kingdom,19-Apr-2021,Equity Crowdfunding,0.83,
ContentCal,2013,10.38,United Kingdom,04-May-2021,Later Stage VC,4.63,
Intilery,2012,1.2,United Kingdom,02-Apr-2020,Later Stage VC,0.6,
Littledata,2014,0.51,United Kingdom,29-Apr-2020,Angel,0.09,
1859 Cloud,2015,6.13,United Kingdom,04-May-2020,Early Stage VC,2.1,
Bleep,2019,,United Kingdom,26-Mar-2020,Accelerator/Incubator,,
Busby,2015,0.15,United Kingdom,21-Apr-2020,Seed Round,0.15,
Byta,2012,1.13,United Kingdom,12-Jun-2020,Seed Round,1.13,
Finimize,2015,3.12,United Kingdom,30-Jun-2020,Early Stage VC,1.17,
FIXR,2012,11.17,United Kingdom,03-May-2021,Later Stage VC,6.5,
Locum's Nest,2015,4.31,United Kingdom,05-Mar-2020,Accelerator/Incubator,,
Nutshell Apps,2015,1.83,United Kingdom,21-May-2020,Later Stage VC,1.58,
nuw.,2015,0.26,United Kingdom,,Later Stage VC,1.5,
OurPeople,2015,1.6,United Kingdom,02-JUI-2020,Later Stage VC,1.6,
PicoJar,2019,0.15,United Kingdom,16-Jun-2020,Seed Round,0.15,
Re-Flow,2018,1.23,United Kingdom,15-Sep-2020,Later Stage VC,0.78,
Secret Escapes,2009,189.56,United Kingdom,13-NOV-2020,Later Stage VC,15,
Shepper,2016,11.32,United Kingdom,15-Dec-2020,Early Stage VC,6,
Sociability,2018,0.05,United Kingdom,25-Feb-2020,Grant,0.02,
Styles & Me,2017,,United Kingdom,06-JUI-2020,Accelerator/Incubator,,
The LBA,2020,0.02,United Kingdom,01-Sep-2020,Early Stage VC,0.02,
TicketCo,2013,6,United Kingdom,21-Jan-2020,Later Stage VC,4.6,
Trim-lt,2016,1.28,United Kingdom,01-Mar-2021,Later Stage VC,0.79,
Tymit,2017,30,United Kingdom,Expected      01-Sep-2021,Early Stage VC,12,
Umii,2017,0.2,United Kingdom,01-Apr-2021,Early Stage VC,0.05,
vidiCREW,2017,0.16,United Kingdom,01-Apr-2020,Early Stage VC,0.16,
Ahoy (Application Software),2015,,United Kingdom,01-Jan-2020,Seed Round,,
Veluba,2017,,United Kingdom,26-May-2020,Equity Crowdfunding,0.08,
Wheely,2010,20.63,United Kingdom,27-Feb-2020,Later Stage VC,23.09,
Citymapper,2010,34.63,United Kingdom,,Equity Crowdfunding,6.68,
Fatmap,2013,18.38,United Kingdom,12-May-2020,Later Stage VC,11.7,
PetsApp,2018,5.89,United Kingdom,01-Mar-2021,Early Stage VC,2.7,
Crowdhaus,2019,0.18,United Kingdom,27-Apr-2021,Seed Round,0.18,
Movebubble,2012,8.24,United Kingdom,02-Sep-2020,Later Stage VC,1.31,
The Zeus App,2017,0.14,United Kingdom,27-Jan-2021,Angel,0.08,
theUp.co,2017,6.8,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.01,
Articheck,2011,1.61,United Kingdom,30-Apr-2020,Later Stage VC,0.2,
Augnet,2018,1.3,United Kingdom,27-Apr-2020,Accelerator/Incubator,,
Curio (Publishing),2016,9.58,United Kingdom,10-Sep-2020,Early Stage VC,7.6,
Tasker,2014,1.41,United Kingdom,01-May-2020,Seed Round,0.39,
unrd,2016,4.2,United Kingdom,14-Apr-2020,Early Stage VC,2,
Commonplace,2013,3.92,United Kingdom,29-Jul-2020,Later Stage VC,3,
Glassbox,2010,62.21,United Kingdom,07-Apr-2020,Later Stage VC,32.73,
Modern Democracy,2014,1.66,United Kingdom,24-Feb-2020,Early Stage VC,0.41,
Simbapay,2013,1.15,United Kingdom,10-Aug-2020,Later Stage VC,0.47,
SmartCom (Application Software),2013,0.01,United Kingdom,01-Jan-2020,Later Stage VC,,
SoPost,2012,1.64,United Kingdom,20-0ct-2020,Seed Round,0.75,
Underpinned,2018,1.33,United Kingdom,23-Mar-2020,Angel,0.5,
Zapp (Logistics),2020,27.54,United Kingdom,31-Mar-2021,Early Stage VC,22.18,
Afin Technologies,2010,8.89,United Kingdom,29-Jul-2020,Later Stage VC,2.27,
Aura (Information Services (B2C)),2018,0.8,United Kingdom,04-Apr-2020,Early Stage VC,0.3,
Dice (Application Software),2014,35.02,United Kingdom,15-0ct-2020,Later Stage VC,3.3,
Eleanor,2018,0.21,United Kingdom,02-Apr-2020,Angel,0.09,
Hussle (Fitness App),2009,22.69,United Kingdom,30-Jan-2020,Later Stage VC,6.2,
Impala,2016,25.36,United Kingdom,10-Feb-2020,Early Stage VC,15.25,
Jigsaw (Social/Platform Software),2016,5.81,United Kingdom,16-Feb-2021,Seed Round,2.7,
Metrikus,2012,2.5,United Kingdom,26-NOV-2020,Later Stage VC,2.5,
Nurturey,2014,1.16,United Kingdom,28-Jan-2020,Seed Round,0.55,
One Utility Bill,2014,4.66,United Kingdom,06-Apr-2021,Later Stage VC,1.6,
Paired,2019,3.36,United Kingdom,27-May-2021,Seed Round,2.57,
Physical 2 Digital,2015,3,United Kingdom,15-Sep-2020,Early Stage VC,3,
Snap-lt,2019,1.12,United Kingdom,01-Mar-2021,Early Stage VC,0.76,
TickX,2015,4.76,United Kingdom,02-Apr-2020,Later Stage VC,0.89,
WhyBuy,2019,0.62,United Kingdom,27-NOV-2020,Angel,0.37,
Aparito,2014,2.55,United Kingdom,06-Aug-2020,Later Stage VC,0.23,
Agile Charging,2015,0.12,United Kingdom,01-Jan-2020,Accelerator/Incubator,,
Borrow A Boat,2016,,United Kingdom,04-Jan-2021,Equity Crowdfunding,0.5,
Cazoo,2018,445.25,United Kingdom,29-Mar-2021,PIPE,576.72,
Daytrip (Automotive),2015,1.36,United Kingdom,24-Jan-2020,Early Stage VC,0.85,
Dropless,2017,3.09,United Kingdom,01-Mar-2021,Early Stage VC,2.3,
Envisics,2016,38.44,United Kingdom,20-Aug-2020,Early Stage VC,38.44,
Jivr,2012,2.31,United Kingdom,01-Jan-2020,Later Stage VC,0.89,
Spark EV Technology,2016,0.87,United Kingdom,26-NOV-2020,Early Stage VC,0.53,
Wayroo,2019,0.25,United Kingdom,17-Dec-2020,Early Stage VC,0.25,
Echion Technologies,2017,2.49,United Kingdom,11-May-2020,Early Stage VC,0.9,
Skoot,2019,2.92,United Kingdom,22-Jan-2021,Seed Round,1.29,
Splyt Technologies,2014,26.79,United Kingdom,18-Jun-2020,Later Stage VC,15.66,
TapTrip,2017,0.58,United Kingdom,06-Mar-2020,Corporate,0.17,
Shipamax,2016,14.72,United Kingdom,29-Jan-2020,Early Stage VC,5.4,
Figura Analytics,2020,0.18,United Kingdom,04-May-2021,Seed Round,0.18,
Footfalls & Heartbeats,2010,3.72,United Kingdom,07-Apr-2020,Accelerator/Incubator,,
Blue Ocean Seismic Services,2018,10.15,United Kingdom,13-0ct-2020,Early Stage VC,10,
GM Flow,2014,0.32,United Kingdom,30-Jan-2020,Later Stage VC,0.32,
BorrowMyDoggy,2012,4.56,United Kingdom,,Secondary Tr...,,
Tailwise,2016,2.5,United Kingdom,31-Mar-2020,Seed Round,2.3,
Agent & Homes,2018,,United Kingdom,20-Jul-2020,Early Stage VC,,
Holofy,2018,0.73,United Kingdom,06-Feb-2020,Early Stage VC,0.73,
Houst,2015,15.79,United Kingdom,22-Jun-2020,Equity Crowdfunding,2.62,
Immo,2017,12.67,United Kingdom,20-Aug-2020,Early Stage VC,12.67,
Kiko,2019,0.5,United Kingdom,15-May-2020,Seed Round,0.5,
NHouse,2016,1.83,United Kingdom,22-Jan-2021,Equity Crowdfunding,0.3,
PropertyHeads,2018,,United Kingdom,11-Sep-2020,Seed Round,,
Pupil (Multimedia and Design Soft...,2015,23.6,United Kingdom,20-Mar-2020,Early Stage VC,13.9,
Residency,2017,14.94,United Kingdom,01-Feb-2020,Debt - General,0.76,
ThirdFort,2017,4.18,United Kingdom,12-Apr-2021,Early Stage VC,1.5,
Howsy,2016,5.79,United Kingdom,15-Apr-2021,Equity Crowdfunding,0.82,
Movewise,2018,1.1,United Kingdom,17-Aug-2020,Early Stage VC,0.6,
Pass the Keys,2015,3.63,United Kingdom,26-Jun-2020,Equity Crowdfunding,1.07,
FutureBricks,2014,3.5,United Kingdom,30-Dec-2020,Later Stage VC,2.18,
Giraffe360,2010,6.47,United Kingdom,06-0ct-2020,Later Stage VC,1.2,
Homeppl,2015,2.56,United Kingdom,27-NOV-2020,Early Stage VC,1.88,
Huckletree,2011,14.31,United Kingdom,14-Apr-2020,Later Stage VC,6.25,
LandTech (Media and Information...,2014,2.94,United Kingdom,27-Jan-2020,Later Stage VC,2.5,
OneDome,2016,13.25,United Kingdom,07-Sep-2020,Early Stage VC,5,
Travel Nest,2014,12.87,United Kingdom,17-Dec-2020,Early Stage VC,1.8,
Fetch (Social/Platform Software),2017,0.91,United Kingdom,17-NOV-2020,Seed Round,0.91,
Little Door & Co,2014,2.6,United Kingdom,30-Sep-2020,Later Stage VC,0.55,
HausBots,2018,0.6,United Kingdom,Expected      30-Jun-2021,Seed Round,1.5,
HEROTECH8,2016,0.5,United Kingdom,14-Feb-2020,Early Stage VC,0.4,
Kingdom (Machinery),2018,0.47,United Kingdom,01-Nov-2020,Grant,0.3,
Sonobotics,2019,,United Kingdom,15-Sep-2020,Early Stage VC,,
Altitude Angel,2014,9.73,United Kingdom,26-Dec-2020,Later Stage VC,3.8,
Atlas Cloud,2010,5.58,United Kingdom,17-Mar-2020,Later Stage VC,2,
Chemastery,2019,0.21,United Kingdom,31-Mar-2021,Seed Round,0.2,
Cledara,2018,3.37,United Kingdom,30-NOV-2020,Seed Round,2.56,
Clippd,2016,2.12,United Kingdom,27-Oct-2020,Seed Round,1.5,
